SPIRALLER - Vtorzhenie [2016] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Vtorzhenie                                                   |   2:56   |  24 MB  |
|    02    | Jarost'                                                      |   2:58   |  25 MB  |
|    03    | Kryl'ja                                                      |   3:12   |  24 MB  |
|    04    | Inferno                                                      |   3:04   |  25 MB  |
|    05    | Oderzhimost'                                                 |   3:00   |  24 MB  |
|    06    | Ruiny                                                        |   5:24   |  37 MB  |
|    07    | Oskolki                                                      |   3:34   |  26 MB  |
|    08    | Kontrol'                                                     |   3:44   |  32 MB  |
|    09    | Krik                                                         |   3:01   |  26 MB  |
|    10    | 2046                                                         |   2:00   |  10 MB  |
|----------|--------------------------------------------------------------|----------|---------|

