SYU - CRYING STARS ~STAND PROUD!~ [2010] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Street Lethal                                                |   4:29   |  32 MB  |
|    02    | The Damnation Game                                           |   4:34   |  35 MB  |
|    03    | Silverwing                                                   |   4:47   |  36 MB  |
|    04    | Never Die                                                    |   3:41   |  25 MB  |
|    05    | We'll Burn The Sky                                           |   6:53   |  47 MB  |
|    06    | Alone                                                        |   4:30   |  30 MB  |
|    07    | Against The Wind                                             |   4:11   |  31 MB  |
|    08    | Thought Of A Dying Atheist                                   |   4:49   |  37 MB  |
|    09    | Red Sky                                                      |   6:14   |  45 MB  |
|    10    | I Remember You                                               |   5:17   |  36 MB  |
|    11    | The Spirit Carries On                                        |   6:41   |  44 MB  |
|    12    | Only For The Weak                                            |   6:21   |  47 MB  |
|----------|--------------------------------------------------------------|----------|---------|

