SYU - VORVADOS [2019] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | VORVADOS                                                     |   2:37   |  22 MB  |
|    02    | REASON                                                       |   5:28   |  46 MB  |
|    03    | Koko de Kugire to Tenshi wa Utau                             |   5:31   |  45 MB  |
|    04    | Akatsuki                                                     |   5:45   |  48 MB  |
|    05    | Euphoria                                                     |   5:23   |  46 MB  |
|    06    | Chaotic Reality                                              |   5:31   |  46 MB  |
|    07    | CACOTOPIA                                                    |   6:17   |  52 MB  |
|    08    | AndroiDedication                                             |   6:06   |  49 MB  |
|    09    | Aishou                                                       |   7:26   |  53 MB  |
|    10    | Mikansei no Tsubasa                                          |   7:01   |  58 MB  |
|    11    | Blessing                                                     |   3:47   |  25 MB  |
|----------|--------------------------------------------------------------|----------|---------|

