SYU - YOU PLAY HARD [2016] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | SPEARHEAD                                                    |   5:42   |  42 MB  |
|    02    | HOLD YOUR TONGUE                                             |   4:11   |  31 MB  |
|    03    | CIVAMALLOSSO                                                 |   3:50   |  29 MB  |
|    04    | BLIND OBEDIENCE                                              |   4:00   |  29 MB  |
|    05    | JAPAN                                                        |   3:07   |  24 MB  |
|    06    | NAKED                                                        |   3:40   |  27 MB  |
|    07    | SUDDENLY                                                     |   4:32   |  35 MB  |
|    08    | CHAIN OF DISTRESS                                            |   6:57   |  47 MB  |
|    09    | MY ANOTHER WHISPERING                                        |   5:53   |  46 MB  |
|    10    | ENDLESS STORY                                                |   6:15   |  49 MB  |
|----------|--------------------------------------------------------------|----------|---------|

