Sakura Gakuin - Sakura Gakuin 2013 Nendo ~Kizuna~ [2014] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mezase! Super Lady -2013 Nendo-                              |   4:12   |  34 MB  |
|    02    | Makeru! Seishun Hizakozou                                    |   3:33   |  26 MB  |
|    03    | Hana*Hana                                                    |   4:18   |  34 MB  |
|    04    | Ganbare!!                                                    |   5:09   |  37 MB  |
|    05    | Shanari Hannari Dorayaki Hime                                |   4:27   |  33 MB  |
|    06    | Welcome to My Computer                                       |   4:35   |  32 MB  |
|    07    | Yosoijo no Smash                                             |   4:19   |  31 MB  |
|    08    | FRIENDS (Unplugged 2013)                                     |   5:00   |  34 MB  |
|    09    | I-J-I                                                        |   4:18   |  32 MB  |
|    10    | Mikansei Silhouette                                          |   4:24   |  31 MB  |
|    11    | Jump Up ~Chiisana Yuki~                                      |   4:43   |  33 MB  |
|    12    | Non-stop☆Go Home Club Heave Ho!! (Remix)                     |   6:15   |  41 MB  |
|----------|--------------------------------------------------------------|----------|---------|

