Sakura Gakuin - Sakura Gakuin 2014 Nendo ~Kimi ni Todoke~ [2015] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mezase! Super Lady -2014 Nendo-                              |   3:52   |  32 MB  |
|    02    | Animarhythm                                                  |   4:21   |  34 MB  |
|    03    | Heart no Hoshi                                               |   5:06   |  44 MB  |
|    04    | Spin in the Wind                                             |   3:27   |  28 MB  |
|    05    | Tenshi to Akuma                                              |   3:43   |  30 MB  |
|    06    | Hirari! Kira Kira☆Yami Yami Museum                           |   3:52   |  29 MB  |
|    07    | Peace de Check!                                              |   3:26   |  26 MB  |
|    08    | Takaramono                                                   |   4:53   |  36 MB  |
|    09    | Gokigen! Mr. Tropicalories                                   |   3:51   |  30 MB  |
|    10    | Aogeba Toutoshi ~from Sakura Gakuin 2014~                    |   4:27   |  34 MB  |
|    11    | Sayonara, Namida.                                            |   4:30   |  33 MB  |
|    12    | Kimi ni Todoke                                               |   4:20   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

