Sakura Gakuin - Sakura Gakuin 2016 Nendo ~Yakusoku~ [2017] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mezase! Super Lady -2016 Nendo-                              |   4:11   |  35 MB  |
|    02    | Makeru! Seishun Hizakozou (Band ver.)                        |   3:32   |  29 MB  |
|    03    | Song for smiling (Band ver.)                                 |   3:39   |  29 MB  |
|    04    | Melodic Solfege                                              |   5:39   |  46 MB  |
|    05    | Davada♪Salad de C'est bon☆Avenue                             |   3:28   |  29 MB  |
|    06    | Hashire Shoujiki Mono                                        |   3:30   |  29 MB  |
|    07    | Peace de Check! -2016-                                       |   3:24   |  25 MB  |
|    08    | Delta                                                        |   4:56   |  41 MB  |
|    09    | Yubikiri                                                     |   4:16   |  34 MB  |
|    10    | Marshmallow Iro no Kimi to (Band ver.)                       |   4:05   |  32 MB  |
|    11    | Otomegokoro (Band ver.)                                      |   3:54   |  30 MB  |
|    12    | Mikansei Silhouette (Band ver.)                              |   4:30   |  34 MB  |
|    13    | Identity                                                     |   3:45   |  29 MB  |
|    14    | Yume ni Mukatte                                              |   4:16   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

