Sakura Gakuin - Sakura Gakuin 2017 Nendo ~My Road~ [2018] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mezase! Super Lady -2017 Nendo-                              |   4:15   |  34 MB  |
|    02    | FLY AWAY (Band ver.)                                         |   4:05   |  31 MB  |
|    03    | I-J-I (Band ver.)                                            |   4:15   |  32 MB  |
|    04    | Sleep Wonder (Band ver.)                                     |   4:55   |  36 MB  |
|    05    | Capsule Scope                                                |   3:41   |  27 MB  |
|    06    | Nee                                                          |   4:10   |  29 MB  |
|    07    | Futari Kotoba                                                |   3:48   |  20 MB  |
|    08    | Akindo Soul                                                  |   3:43   |  28 MB  |
|    09    | Mirai Tokei                                                  |   4:23   |  30 MB  |
|    10    | Sayonara, Namida.                                            |   4:30   |  33 MB  |
|    11    | Magic Melody                                                 |   4:36   |  33 MB  |
|    12    | My Road                                                      |   3:51   |  29 MB  |
|    13    | message                                                      |   4:52   |  33 MB  |
|    14    | Yume ni Mukatte                                              |   4:18   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

