Sakura Gakuin - Sakura Gakuin 2018 Nendo ~Life Iro Asenai Hibi~ [2019] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mezase! Super Lady -2018 Nendo-                              |   4:15   |  34 MB  |
|    02    | WONDERFUL JOURNEY                                            |   4:19   |  32 MB  |
|    03    | Verishuvi                                                    |   4:37   |  37 MB  |
|    04    | Heart no Hoshi                                               |   5:05   |  41 MB  |
|    05    | Gokigen! Mr. Tropicalories                                   |   3:48   |  29 MB  |
|    06    | Prologue ~ C'est la vie                                      |   5:01   |  30 MB  |
|    07    | clover                                                       |   4:42   |  34 MB  |
|    08    | Jump Up ~Chiisana Yuki~                                      |   4:40   |  35 MB  |
|    09    | Fairy tale                                                   |   3:40   |  28 MB  |
|    10    | FRIENDS                                                      |   4:13   |  32 MB  |
|    11    | Carry on                                                     |   5:34   |  38 MB  |
|    12    | Yakusoku no Mirai                                            |   4:43   |  37 MB  |
|    13    | Yume ni Mukatte                                              |   4:17   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

