Sakura Gakuin - Sakura Gakuin 2019 Nendo ~Story~ [2020] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mezase! Super Lady -2019 Nendo-                              |   4:16   |  32 MB  |
|    02    | Hello! IVY                                                   |   3:33   |  29 MB  |
|    03    | Hana*Hana                                                    |   4:19   |  35 MB  |
|    04    | Ganbare!!                                                    |   5:15   |  41 MB  |
|    05    | #Aoharu Hakusho                                              |   2:55   |  24 MB  |
|    06    | Let's Dance                                                  |   2:39   |  19 MB  |
|    07    | Merry Xmas to you                                            |   4:21   |  33 MB  |
|    08    | Monochrome                                                   |   4:08   |  32 MB  |
|    09    | Crossroad                                                    |   4:51   |  35 MB  |
|    10    | My Graduation Toss                                           |   5:31   |  42 MB  |
|    11    | Marshmallow Iro no Kimi to                                   |   4:04   |  33 MB  |
|    12    | Mikansei Silhouette                                          |   4:27   |  33 MB  |
|    13    | Tabidachi no Hi ni ~J-MIX 2019~                              |   3:44   |  24 MB  |
|    14    | Yume ni Mukatte                                              |   4:17   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

