Sendai Kamotsu - Deko (Regular Edition) [2009] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Aa Jinsei ni Namida Ari                                      |   2:38   |  20 MB  |
|    02    | Zekkoumon                                                    |   4:18   |  33 MB  |
|    03    | Unchi-kun                                                    |   4:09   |  33 MB  |
|    04    | Fukyou no Kaze                                               |   4:59   |  39 MB  |
|    05    | Cheng Long                                                   |   3:56   |  30 MB  |
|    06    | Gei School Otokogumi!!                                       |   4:13   |  33 MB  |
|    07    | Ora Tokyo sa Igu da                                          |   2:39   |  21 MB  |
|    08    | Umanami de. (Tommy & Rocky's theater -Matsuranaika-)         |   4:35   |  36 MB  |
|    09    | Freddy Matsuri (Tommy & Rocky's theater -Yaranaika-)         |   5:15   |  38 MB  |
|    10    | Outa                                                         |   2:13   |  18 MB  |
|    11    | Kamisama Mou Sukoshi Dake                                    |   3:44   |  29 MB  |
|----------|--------------------------------------------------------------|----------|---------|

