Sendai Kamotsu - Jinsei Game [2006] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Saturday Night Gay Bar                                       |   3:28   |  26 MB  |
|    02    | Gei no Gekijou “Lesson”                                      |   1:40   |  07 MB  |
|    03    | Ai Senshi ~Life is beautiful~                                |   4:09   |  30 MB  |
|    04    | Akai Senpuu no Ballad                                        |   3:51   |  27 MB  |
|    05    | Krillin Manson                                               |   4:51   |  34 MB  |
|    06    | N.M.N ~NO MORE NAYAMIMUYOU~                                  |   3:12   |  24 MB  |
|    07    | Gei no Gekijou “Sakaba Nite”                                 |   1:19   |  08 MB  |
|    08    | Country Boy                                                  |   3:32   |  26 MB  |
|    09    | Triple☆NEET                                                  |   4:13   |  31 MB  |
|    10    | Otokotachi no Banka                                          |   8:31   |  53 MB  |
|----------|--------------------------------------------------------------|----------|---------|

