Shoko Nakagawa - 9lives [2014] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Miracle a Go! Go!                                            |   4:05   |  33 MB  |
|    02    | 9lives                                                       |   4:59   |  40 MB  |
|    03    | Sakasama Sekai                                               |   4:18   |  34 MB  |
|    04    | Zoku Konton                                                  |   4:21   |  33 MB  |
|    05    | Shiroi Chou no Yume                                          |   4:05   |  27 MB  |
|    06    | Ii yo ne                                                     |   4:19   |  32 MB  |
|    07    | Seven Seas Romance                                           |   4:23   |  34 MB  |
|    08    | millefeuille nights                                          |   4:31   |  38 MB  |
|    09    | Dare ni mo Ienai Kiss no Ato                                 |   3:27   |  29 MB  |
|    10    | chocolat chaud                                               |   4:28   |  36 MB  |
|    11    | Nuigulumar Z                                                 |   3:53   |  31 MB  |
|    12    | Once Upon a Time -Kibou no Uta-                              |   4:09   |  30 MB  |
|    13    | Ai Ippai, Sei Ippai                                          |   5:25   |  42 MB  |
|    14    | Last Wish -Onaji Iro no Christmas-                           |   5:21   |  36 MB  |
|----------|--------------------------------------------------------------|----------|---------|

