Shoko Nakagawa - Big☆Bang!!! [2008] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | We can do it !!                                              |   3:44   |  31 MB  |
|    02    | Sorairo Days                                                 |   4:11   |  34 MB  |
|    03    | Koi no Kioku                                                 |   4:03   |  30 MB  |
|    04    | snow tears                                                   |   4:53   |  39 MB  |
|    05    | Brilliant Dream -shoko☆planet mix-                           |   4:39   |  37 MB  |
|    06    | Fruit Punch                                                  |   4:08   |  32 MB  |
|    07    | Strawberry melody                                            |   5:17   |  42 MB  |
|    08    | pretty please chocolate on top                               |   4:44   |  39 MB  |
|    09    | calling location                                             |   3:42   |  29 MB  |
|    10    | happily ever after                                           |   3:29   |  28 MB  |
|    11    | starry pink                                                  |   5:34   |  37 MB  |
|    12    | Sukashikashi Pan Sukoshi Hen?                                |   2:37   |  16 MB  |
|----------|--------------------------------------------------------------|----------|---------|

