Shoko Nakagawa - Chou! Shokotan☆Best――(°∀°)――!! [2023] [Best Album] [24-96 FLAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Brilliant Dream                                              |   4:43   |  110 MB |
|    02    | Strawberry melody                                            |   5:16   |  119 MB |
|    03    | Sorairo Days                                                 |   4:12   |  99 MB  |
|    04    | snow tears                                                   |   4:52   |  109 MB |
|    05    | Shiny GATE                                                   |   5:02   |  120 MB |
|    06    | Tsuzuku Sekai                                                |   4:50   |  112 MB |
|    07    | Kirei à la Mode                                              |   4:48   |  105 MB |
|    08    | Namida no Tane, Egao no Hana                                 |   4:45   |  111 MB |
|    09    | Kokoro no Antenna                                            |   4:52   |  111 MB |
|    10    | “Arigatou no Egao”                                           |   4:52   |  99 MB  |
|    11    | RAY OF LIGHT                                                 |   4:25   |  100 MB |
|    12    | Flying Humanoid                                              |   4:56   |  111 MB |
|    13    | Sakurairo                                                    |   4:53   |  111 MB |
|    14    | Tsuyogari                                                    |   4:07   |  95 MB  |
|    15    | Horoscope                                                    |   5:37   |  127 MB |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Zoku Konton                                                  |   4:20   |  94 MB  |
|    02    | Sakasama Sekai                                               |   4:18   |  94 MB  |
|    03    | Once Upon a Time -Kibou no Uta-                              |   4:08   |  86 MB  |
|    04    | PUNCH LINE!                                                  |   4:02   |  91 MB  |
|    05    | Mugen∞Blanc Noir                                             |   4:36   |  101 MB |
|    06    | Dori Dori                                                    |   3:55   |  88 MB  |
|    07    | blue moon                                                    |   4:17   |  96 MB  |
|    08    | Kaze to Issho ni                                             |   5:00   |  107 MB |
|    09    | Type: Wild                                                   |   3:28   |  77 MB  |
|    10    | Fure Fure                                                    |   3:15   |  71 MB  |
|    11    | Kimi no Manma ga Iin da yo                                   |   4:30   |  97 MB  |
|    12    | Numaru Akuma                                                 |   3:12   |  74 MB  |
|----------|--------------------------------------------------------------|----------|---------|

