Shoko Nakagawa - Koi no Tadashii Houhou wa Hon ni mo Sekkeizu ni mo Notteinai [2011] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | I'm here                                                     |   4:50   |  38 MB  |
|    02    | Sen no Kotoba to Futari no Himitsu                           |   4:46   |  32 MB  |
|    03    | Opening Title                                                |   0:50   |  05 MB  |
|    04    | Neru to Izumi 1                                              |   1:28   |  06 MB  |
|    05    | Urusai Kaeru                                                 |   0:11   |  03 MB  |
|    06    | Shigoto Gaeri ~ Shitsukoi Kaeru 1                            |   2:40   |  13 MB  |
|    07    | Tetsugakusha?                                                |   1:13   |  07 MB  |
|    08    | Shitsukoi Kaeru 2                                            |   1:17   |  08 MB  |
|    09    | Drive1                                                       |   0:54   |  06 MB  |
|    10    | Mori no Toshokan                                             |   3:14   |  15 MB  |
|    11    | Mori no Yoru                                                 |   2:33   |  09 MB  |
|    12    | Drive2                                                       |   1:34   |  08 MB  |
|    13    | Trauma                                                       |   0:39   |  04 MB  |
|    14    | Neru to Izumi 2                                              |   1:25   |  06 MB  |
|    15    | Doa no Mukou                                                 |   1:51   |  08 MB  |
|    16    | Neru to Izumi 3                                              |   2:07   |  11 MB  |
|    17    | End Title                                                    |   2:15   |  15 MB  |
|----------|--------------------------------------------------------------|----------|---------|

