Shoko Nakagawa - Shokotan☆Best――(°∀°) ――!! [2012] [Best Album] [ALAC - WEB]

Disc 1 - Original Best
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sorairo Days                                                 |   4:12   |  34 MB  |
|    02    | Gozen Rokuji                                                 |   4:14   |  33 MB  |
|    03    | Flying Humanoid                                              |   4:53   |  38 MB  |
|    04    | Sakurairo                                                    |   4:55   |  39 MB  |
|    05    | Horoscope                                                    |   5:37   |  43 MB  |
|    06    | Brilliant Dream                                              |   4:43   |  38 MB  |
|    07    | Shiny GATE                                                   |   5:01   |  40 MB  |
|    08    | Tsuyogari                                                    |   4:07   |  32 MB  |
|    09    | Strawberry melody                                            |   5:16   |  41 MB  |
|    10    | Kokoro no Antenna                                            |   4:50   |  38 MB  |
|    11    | Kirei à la Mode                                              |   4:48   |  34 MB  |
|    12    | snow tears                                                   |   4:53   |  37 MB  |
|    13    | “Arigatou no Egao”                                           |   4:52   |  32 MB  |
|    14    | Namida no Tane, Egao no Hana                                 |   4:44   |  38 MB  |
|    15    | Tsuzuku Sekai                                                |   4:49   |  38 MB  |
|    16    | RAY OF LIGHT                                                 |   4:25   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2 - Best Covers & New Songs
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Hanbun Fushigi                                               |   3:50   |  31 MB  |
|    02    | 1/2                                                          |   4:56   |  39 MB  |
|    03    | GOD KNOWS...                                                 |   4:51   |  38 MB  |
|    04    | Koigokoro                                                    |   4:11   |  34 MB  |
|    05    | Zankoku na Tenshi no Thesis                                  |   4:00   |  32 MB  |
|    06    | Tamashii no Refrain                                          |   5:14   |  42 MB  |
|    07    | ETERNAL WIND ~Hohoemi wa Hikaru Kaze no Naka~                |   5:04   |  37 MB  |
|    08    | Yuzurenai Negai                                              |   3:50   |  31 MB  |
|    09    | Rinbu-REVOLUTION                                             |   4:31   |  36 MB  |
|    10    | Seikan Hikou                                                 |   3:53   |  31 MB  |
|    11    | DIAMONDS                                                     |   5:02   |  38 MB  |
|    12    | Aoi Photograph                                               |   3:54   |  28 MB  |
|    13    | Romantic Ageru yo                                            |   3:50   |  30 MB  |
|    14    | Sorairo Days -Mandarin ver.-                                 |   4:13   |  33 MB  |
|    15    | Horizont                                                     |   3:48   |  31 MB  |
|    16    | apple universe                                               |   4:41   |  38 MB  |
|    17    | soufflé secret                                               |   4:33   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

