Shoko Nakagawa - Shokotan☆Self Cover [2023] [Covers Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sorairo Days                                                 |   4:11   |  102 MB |
|    02    | pretty please chocolate on top                               |   4:47   |  113 MB |
|    03    | Namida no Tane, Egao no Hana                                 |   4:47   |  114 MB |
|    04    | Gozen Rokuji                                                 |   4:15   |  97 MB  |
|    05    | Kirei à la Mode                                              |   4:48   |  107 MB |
|    06    | Brilliant Dream                                              |   4:45   |  117 MB |
|    07    | calling location                                             |   3:43   |  85 MB  |
|    08    | Mitsubachi no Sasayaki                                       |   4:00   |  97 MB  |
|    09    | Strawberry melody                                            |   5:18   |  125 MB |
|    10    | RAY OF LIGHT                                                 |   4:27   |  105 MB |
|----------|--------------------------------------------------------------|----------|---------|

