Solus - Insight [2019] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Behind the Stars                                             |   1:31   |  08 MB  |
|    02    | The Silver Key                                               |   5:15   |  38 MB  |
|    03    | Black Stone Monolith                                         |   3:38   |  27 MB  |
|    04    | Mountains Over Sunless Seas                                  |   6:58   |  48 MB  |
|    05    | Injecting Undeath                                            |   3:39   |  27 MB  |
|    06    | Through Entropy and Decay                                    |   6:31   |  42 MB  |
|    07    | Whispers                                                     |   3:48   |  28 MB  |
|    08    | Hunger, Lust, Desire                                         |   3:45   |  28 MB  |
|    09    | Insight                                                      |   4:24   |  31 MB  |
|    10    | Black Goat of the Woods                                      |   2:43   |  12 MB  |
|    11    | With a Thousand Young                                        |   4:49   |  35 MB  |
|    12    | The Great Dreamer                                            |   5:12   |  36 MB  |
|    13    | Brennenburg                                                  |   1:00   |  06 MB  |
|----------|--------------------------------------------------------------|----------|---------|

