Somnus - Through Creation's End [2002] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | The Gate of Wolves                                           |   4:27   |  31 MB  |
|    02    | Warlock's Feast                                              |   6:10   |  40 MB  |
|    03    | Dawn Of Spirits                                              |   6:25   |  44 MB  |
|    04    | Tribunal Of Woe                                              |   2:04   |  13 MB  |
|    05    | The Deceiver                                                 |   5:44   |  39 MB  |
|    06    | Lament For Winter's Passing                                  |   6:16   |  43 MB  |
|    07    | Creation's End                                               |   6:27   |  29 MB  |
|    08    | Unfulfilled Prophecy (Live)                                  |   5:26   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

