Stereopony - BEST of STEREOPONY [2012] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sayonara no Kisetsu                                          |   4:18   |  31 MB  |
|    02    | Hitohira no Hanabira                                         |   3:36   |  27 MB  |
|    03    | Namida no Mukou                                              |   3:30   |  28 MB  |
|    04    | I do it                                                      |   3:46   |  29 MB  |
|    05    | Seishun ni, Sono Namida ga Hitsuyou da!                      |   3:25   |  27 MB  |
|    06    | Smilife                                                      |   3:37   |  29 MB  |
|    07    | Tsukiakari no Michishirube                                   |   3:58   |  30 MB  |
|    08    | Hanbunko                                                     |   4:02   |  31 MB  |
|    09    | OVER DRIVE                                                   |   4:24   |  34 MB  |
|    10    | Everything OK!!!                                             |   3:16   |  24 MB  |
|    11    | Chiisana Mahou                                               |   4:49   |  36 MB  |
|    12    | Tatoeba Utaenakunattara                                      |   5:01   |  37 MB  |
|    13    | Arigatou                                                     |   5:31   |  42 MB  |
|    14    | Super Girl                                                   |   3:38   |  29 MB  |
|    15    | Bibara Bibara                                                |   4:05   |  33 MB  |
|    16    | Hoshikuzu Kandelaar                                          |   3:47   |  30 MB  |
|    17    | stand by me                                                  |   4:25   |  34 MB  |
|    18    | Stereopony no Tabi wa Tsuzuku                                |   3:56   |  31 MB  |
|    19    | Aozora Very good days!!                                      |   4:07   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

