Stereopony - More!More!!More!!! [2011] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Introduction                                                 |   1:44   |  13 MB  |
|    02    | Blowin'in the wind                                           |   4:36   |  37 MB  |
|    03    | Hana Hiraku Oka                                              |   3:10   |  25 MB  |
|    04    | I am a Hero                                                  |   4:37   |  38 MB  |
|    05    | Tatoeba Utaenakunattara                                      |   4:59   |  37 MB  |
|    06    | Chiisa na Mahou                                              |   4:46   |  35 MB  |
|    07    | Bibara Bibara                                                |   4:07   |  33 MB  |
|    08    | Amaryllis                                                    |   3:24   |  25 MB  |
|    09    | Super Girl                                                   |   3:38   |  28 MB  |
|    10    | Oshare Bancho 2011                                           |   3:15   |  26 MB  |
|    11    | Arigatou                                                     |   5:32   |  42 MB  |
|    12    | Canvas ni Watashi Dake no Iro wo Nosete                      |   5:00   |  37 MB  |
|----------|--------------------------------------------------------------|----------|---------|

