Stereopony - OVER THE BORDER [2010] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | OVER THE BORDER                                              |   4:34   |  35 MB  |
|    02    | Tsukiakari no Michishirube                                   |   3:56   |  30 MB  |
|    03    | Smilife                                                      |   3:36   |  28 MB  |
|    04    | happy 'A'                                                    |   4:56   |  37 MB  |
|    05    | Never Look Back                                              |   3:23   |  26 MB  |
|    06    | Tomodachi no Koibito                                         |   3:42   |  28 MB  |
|    07    | Mousou Jet                                                   |   4:01   |  31 MB  |
|    08    | cherry my...                                                 |   4:07   |  30 MB  |
|    09    | Hanbunko                                                     |   4:02   |  31 MB  |
|    10    | Hoshikuzu Kandelaar                                          |   3:45   |  30 MB  |
|    11    | 100 Pararhythm                                               |   3:53   |  28 MB  |
|    12    | OVER DRIVE                                                   |   4:25   |  33 MB  |
|    13    | Sakine                                                       |   12:41  |  36 MB  |
|----------|--------------------------------------------------------------|----------|---------|

