Sybreed - Antares [2008] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Emma-0                                                       |   4:27   |  31 MB  |
|    02    | Ego Bypass Generator                                         |   4:55   |  35 MB  |
|    03    | Revive My Wounds                                             |   4:22   |  33 MB  |
|    04    | Isolate                                                      |   5:17   |  36 MB  |
|    05    | Dynamic                                                      |   5:39   |  43 MB  |
|    06    | Neurodrive                                                   |   4:09   |  32 MB  |
|    07    | Ex-Inferis                                                   |   2:04   |  14 MB  |
|    08    | Permafrost                                                   |   5:05   |  40 MB  |
|    09    | Orbital                                                      |   5:55   |  42 MB  |
|    10    | Twelve Megatons Gravity                                      |   5:44   |  43 MB  |
|    11    | Plasmaterial                                                 |   6:25   |  48 MB  |
|    12    | Ethernity                                                    |   9:20   |  64 MB  |
|    13    | Technocracy                                                  |   5:14   |  40 MB  |
|----------|--------------------------------------------------------------|----------|---------|

