Sybreed - The Pulse Of Awakening [2009] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Nomenklatura                                                 |   4:46   |  33 MB  |
|    02    | A.E.O.N.                                                     |   5:02   |  36 MB  |
|    03    | Doomsday Party                                               |   4:19   |  31 MB  |
|    04    | Human Black Box                                              |   5:11   |  37 MB  |
|    05    | KillJoy                                                      |   4:49   |  35 MB  |
|    06    | I Am Ultraviolence                                           |   4:03   |  29 MB  |
|    07    | Electronegative                                              |   4:39   |  34 MB  |
|    08    | In The Cold Light                                            |   3:15   |  19 MB  |
|    09    | Lucifer Effect                                               |   6:36   |  46 MB  |
|    10    | Love Like Blood (Killing Joke cover)                         |   4:45   |  33 MB  |
|    11    | Meridian A.D.                                                |   5:59   |  43 MB  |
|    12    | Flesh Doll for Sale                                          |   5:01   |  37 MB  |
|    13    | From Zero To Nothing                                         |   9:39   |  66 MB  |
|----------|--------------------------------------------------------------|----------|---------|

