TEMPURA KIDZ - Tenkomori [2015] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | CIDER CIDER                                                  |   3:50   |  37 MB  |
|    02    | Happy Natsu Matsuri                                          |   4:09   |  40 MB  |
|    03    | LOLLiPOP                                                     |   3:43   |  35 MB  |
|    04    | Suki da Suki da Daisuki da!                                  |   4:31   |  44 MB  |
|    05    | Donna Teki mo.                                               |   4:10   |  40 MB  |
|    06    | Tabechaitaino                                                |   3:28   |  34 MB  |
|    07    | Suki Suki! TEMPURA KIDZ                                      |   3:47   |  31 MB  |
|    08    | Miira Killer                                                 |   4:17   |  39 MB  |
|    09    | ONE STEP                                                     |   4:23   |  42 MB  |
|    10    | Mask Mask                                                    |   3:17   |  32 MB  |
|    11    | Acchi, Kocchi, Socchi.                                       |   4:40   |  44 MB  |
|----------|--------------------------------------------------------------|----------|---------|

