Three Days Grace - EXPLOSIONS [2022] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | So Called Life                                               |   3:26   |  28 MB  |
|    02    | I Am The Weapon                                              |   2:55   |  23 MB  |
|    03    | Neurotic                                                     |   3:17   |  25 MB  |
|    04    | Lifetime                                                     |   2:56   |  22 MB  |
|    05    | A Scar Is Born                                               |   3:33   |  27 MB  |
|    06    | Souvenirs                                                    |   3:10   |  21 MB  |
|    07    | No Tomorrow                                                  |   2:52   |  23 MB  |
|    08    | Redemption                                                   |   3:10   |  23 MB  |
|    09    | Champion                                                     |   3:01   |  24 MB  |
|    10    | Chain of Abuse                                               |   3:05   |  24 MB  |
|    11    | Someone To Talk To                                           |   2:53   |  19 MB  |
|    12    | Explosions                                                   |   3:27   |  27 MB  |
|----------|--------------------------------------------------------------|----------|---------|

