Three Days Grace - Life Starts Now [2009] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Bitter Taste                                                 |   4:00   |  34 MB  |
|    02    | Break                                                        |   3:13   |  27 MB  |
|    03    | World So Cold                                                |   4:03   |  34 MB  |
|    04    | Lost In You                                                  |   3:52   |  31 MB  |
|    05    | The Good Life                                                |   2:53   |  25 MB  |
|    06    | No More                                                      |   3:45   |  31 MB  |
|    07    | Last to Know                                                 |   3:27   |  25 MB  |
|    08    | Someone Who Cares                                            |   4:52   |  39 MB  |
|    09    | Bully                                                        |   3:38   |  31 MB  |
|    10    | Without You                                                  |   3:33   |  29 MB  |
|    11    | Goin' Down                                                   |   3:05   |  27 MB  |
|    12    | Life Starts Now                                              |   3:08   |  26 MB  |
|----------|--------------------------------------------------------------|----------|---------|

