Three Days Grace - Outsider [2018] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Right Left Wrong                                             |   3:56   |  49 MB  |
|    02    | The Mountain                                                 |   3:18   |  43 MB  |
|    03    | I Am an Outsider                                             |   2:42   |  35 MB  |
|    04    | Infra-Red                                                    |   3:50   |  48 MB  |
|    05    | Nothing to Lose But You                                      |   2:52   |  37 MB  |
|    06    | Me Against You                                               |   3:29   |  42 MB  |
|    07    | Love Me or Leave Me                                          |   3:04   |  34 MB  |
|    08    | Strange Days                                                 |   3:10   |  41 MB  |
|    09    | Villain I'm Not                                              |   2:55   |  38 MB  |
|    10    | Chasing the First Time                                       |   2:55   |  38 MB  |
|    11    | The New Real                                                 |   3:00   |  40 MB  |
|    12    | The Abyss                                                    |   4:09   |  52 MB  |
|----------|--------------------------------------------------------------|----------|---------|

