Tomohisa Yamashita - A NUDE [2013] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | SING FOR YOU                                                 |   4:45   |  37 MB  |
|    02    | Que Sera Sera                                                |   3:10   |  23 MB  |
|    03    | Ano Niji no Mukou Made                                       |   4:50   |  34 MB  |
|    04    | Kimi no Kaze ni Natte                                        |   5:09   |  40 MB  |
|    05    | Parade                                                       |   4:32   |  32 MB  |
|    06    | EVERYBODY UP                                                 |   3:34   |  26 MB  |
|    07    | Genshi-teki ja Night ~Analog Love~                           |   3:47   |  27 MB  |
|    08    | NEXTACTION                                                   |   4:12   |  33 MB  |
|    09    | PARi-PArA                                                    |   2:55   |  20 MB  |
|    10    | MAGIC                                                        |   4:26   |  33 MB  |
|    11    | Stand Alone                                                  |   4:09   |  29 MB  |
|    12    | Shinkirou                                                    |   5:02   |  34 MB  |
|    13    | Natsu no Orion                                               |   4:33   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

