Tomohisa Yamashita - Ero (Regular Edition) [2012] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ai, Texas                                                    |   3:32   |  25 MB  |
|    02    | ERO -2012 version-                                           |   4:03   |  30 MB  |
|    03    | Carina                                                       |   4:02   |  31 MB  |
|    04    | Romantic                                                     |   5:06   |  34 MB  |
|    05    | Shiver                                                       |   3:01   |  23 MB  |
|    06    | Hit the Wall                                                 |   3:40   |  27 MB  |
|    07    | BABY BABY                                                    |   3:54   |  28 MB  |
|    08    | Be The ONE                                                   |   4:11   |  30 MB  |
|    09    | Boku Dake no Kimi ni                                         |   4:40   |  37 MB  |
|    10    | Turn Off The Lights                                          |   3:45   |  25 MB  |
|    11    | Nayami no Mori no Mannaka de                                 |   3:33   |  16 MB  |
|    12    | Odoru Yoru                                                   |   3:21   |  27 MB  |
|----------|--------------------------------------------------------------|----------|---------|

