Turisas - Stand Up and Fight [2012] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | The March of the Varangian Guard                             |   3:51   |  29 MB  |
|    02    | Take the Day!                                                |   5:26   |  39 MB  |
|    03    | Hunting Pirates                                              |   3:43   |  29 MB  |
|    04    | Venetoi! - Prasinoi!                                         |   3:49   |  30 MB  |
|    05    | Stand Up and Fight                                           |   5:27   |  40 MB  |
|    06    | The Great Escape                                             |   4:51   |  36 MB  |
|    07    | Fear the Fear                                                |   6:13   |  46 MB  |
|    08    | End of an Empire                                             |   7:16   |  53 MB  |
|    09    | The Bosphorus Freezes Over                                   |   5:37   |  37 MB  |
|----------|--------------------------------------------------------------|----------|---------|

