Versailles - Versailles [2012] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Prelude                                                      |   1:35   |  11 MB  |
|    02    | ROSE                                                         |   5:25   |  42 MB  |
|    03    | Rhapsody of the Darkness                                     |   4:54   |  40 MB  |
|    04    | Edge of the World                                            |   5:17   |  41 MB  |
|    05    | Illusion                                                     |   5:07   |  41 MB  |
|    06    | ayakashi                                                     |   4:37   |  36 MB  |
|    07    | Created Beauty                                               |   10:05  |  74 MB  |
|    08    | Holy Grail -amoroso-                                         |   5:03   |  39 MB  |
|    09    | Brave                                                        |   4:33   |  37 MB  |
|    10    | Truth                                                        |   4:45   |  37 MB  |
|    11    | Sympathia                                                    |   6:14   |  46 MB  |
|----------|--------------------------------------------------------------|----------|---------|

