When Nothing Remains - As All Torn Asunder [2012] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Embrace Her Pain                                             |   7:28   |  50 MB  |
|    02    | The Sorrow Within                                            |   11:41  |  78 MB  |
|    03    | A Portrait of the Dying                                      |   7:14   |  51 MB  |
|    04    | Mourning of the Sun                                          |   8:43   |  59 MB  |
|    05    | Solaris                                                      |   1:14   |  07 MB  |
|    06    | Her Lost Life                                                |   9:00   |  63 MB  |
|    07    | In Silence I Conceal the Pain                                |   7:44   |  55 MB  |
|    08    | As All Torn Asunder                                          |   13:02  |  84 MB  |
|    09    | Outro - Tears                                                |   3:56   |  20 MB  |
|----------|--------------------------------------------------------------|----------|---------|

