When Nothing Remains - Thy Dark Serenity [2013] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | I Forgive You                                                |   5:28   |  63 MB  |
|    02    | A Raven's Tale                                               |   8:16   |  96 MB  |
|    03    | She Died in Autumns Rain                                     |   8:59   |  107 MB |
|    04    | Wings of the Withered                                        |   6:47   |  81 MB  |
|    05    | Thy Dark Serenity                                            |   7:26   |  90 MB  |
|    06    | Like an Angel's Funeral                                      |   5:30   |  66 MB  |
|    07    | When Heaven Once Fell                                        |   7:58   |  94 MB  |
|    08    | When We Stop Breathing                                       |   4:01   |  44 MB  |
|----------|--------------------------------------------------------------|----------|---------|

