Wine from Tears - Through the Eyes of a Mad [2009] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Angels Also Die... (Intro)                                   |   1:38   |  11 MB  |
|    02    | Since I Fell...                                              |   7:02   |  52 MB  |
|    03    | The Sinner                                                   |   7:45   |  57 MB  |
|    04    | Funeral Time                                                 |   8:46   |  69 MB  |
|    05    | Night of a Succubus                                          |   7:13   |  54 MB  |
|    06    | Close to Katatonia                                           |   4:22   |  34 MB  |
|    07    | Bless Me Bleeding Angels                                     |   5:57   |  46 MB  |
|    08    | The Secret of the Woods                                      |   6:11   |  47 MB  |
|    09    | Before the Gods                                              |   7:34   |  57 MB  |
|    10    | Feeding the Angel                                            |   5:37   |  41 MB  |
|    11    | My Tears                                                     |   8:00   |  60 MB  |
|    12    | Meus Altius Pater Noster                                     |   7:17   |  55 MB  |
|----------|--------------------------------------------------------------|----------|---------|
