Woe Unto Me - Among the Lightened Skies the Voidness Flashed [2017] [Album] [24-44 ALAC - WEB]

DISC 1 - ...the Voidness Flashed
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Triptych - Shiver, Shelter, Shatter                          |   13:28  |  157 MB |
|    02    | Of Life That Never Showed Its Face                           |   13:01  |  142 MB |
|    03    | I Come to Naught                                             |   14:27  |  165 MB |
|    04    | A Breath of a Grief                                          |   10:23  |  126 MB |
|    05    | Drawn by Mourning                                            |   18:10  |  207 MB |
|----------|--------------------------------------------------------------|----------|---------|

DISC 2 - Among the Lightened Skies
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | In a Stranglehold                                            |   6:46   |  83 MB  |
|    02    | Leave Me to My Sorrows                                       |   4:49   |  58 MB  |
|    03    | Along Came the Imminence                                     |   6:43   |  80 MB  |
|    04    | Fall-Dyed Lament                                             |   8:22   |  103 MB |
|    05    | A Year-Long Waiting                                          |   7:36   |  84 MB  |
|    06    | My Joy Lies Behind                                           |   5:10   |  62 MB  |
|    07    | The Snide Sun                                                |   5:52   |  68 MB  |
|----------|--------------------------------------------------------------|----------|---------|

