X JAPAN - DAHLIA [1996] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | DAHLIA                                                       |   7:56   |  60 MB  |
|    02    | Scars                                                        |   5:06   |  38 MB  |
|    03    | Longing ~Togireta melody~                                    |   7:38   |  53 MB  |
|    04    | Rusty Nail                                                   |   5:28   |  44 MB  |
|    05    | White Poem I                                                 |   3:18   |  23 MB  |
|    06    | Crucify My Love                                              |   4:36   |  26 MB  |
|    07    | Tears                                                        |   10:27  |  72 MB  |
|    08    | WRIGGLE                                                      |   1:25   |  11 MB  |
|    09    | DRAIN                                                        |   3:28   |  26 MB  |
|    10    | Forever Love (Acoustic Version)                              |   7:53   |  53 MB  |
|----------|--------------------------------------------------------------|----------|---------|

