YOASOBI - E-SIDE 2 [2022] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | The Blessing                                                 |   3:12   |  79 MB  |
|    02    | If I Could Draw Life                                         |   3:22   |  79 MB  |
|    03    | Romance                                                      |   2:46   |  69 MB  |
|    04    | The Swallow (feat. Midories)                                 |   3:37   |  84 MB  |
|    05    | Halzion                                                      |   3:18   |  83 MB  |
|    06    | Just a Little Step                                           |   3:39   |  86 MB  |
|    07    | Haruka                                                       |   4:02   |  92 MB  |
|    08    | Love Letter                                                  |   3:30   |  85 MB  |
|----------|--------------------------------------------------------------|----------|---------|

