YOASOBI - E-SIDE 3 [2024] [Album] [24-96 FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Biri-Biri (English Version)                                  |   3:06   |  73 MB  |
|    02    | Idol                                                         |   3:32   |  79 MB  |
|    03    | Mister                                                       |   3:04   |  70 MB  |
|    04    | manimani                                                     |   4:16   |  85 MB  |
|    05    | The Brave                                                    |   3:15   |  72 MB  |
|    06    | Seventeen                                                    |   3:19   |  72 MB  |
|    07    | Loving You                                                   |   3:37   |  79 MB  |
|    08    | Adventure                                                    |   3:19   |  71 MB  |
|----------|--------------------------------------------------------------|----------|---------|

