YOASOBI - THE BOOK 3 [2023] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Yuusha                                                       |   3:14   |  74 MB  |
|    02    | Interlude “Awakening”                                        |   0:48   |  18 MB  |
|    03    | Shukufuku                                                    |   3:12   |  76 MB  |
|    04    | Umi no Manimani                                              |   4:16   |  88 MB  |
|    05    | Mr.                                                          |   3:05   |  73 MB  |
|    06    | Interlude “Worship”                                          |   1:07   |  24 MB  |
|    07    | Idol                                                         |   3:31   |  83 MB  |
|    08    | Seventeen                                                    |   3:18   |  76 MB  |
|    09    | Adventure                                                    |   3:18   |  74 MB  |
|    10    | Suki da                                                      |   3:37   |  82 MB  |
|----------|--------------------------------------------------------------|----------|---------|

