YOASOBI - THE BOOK [2021] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Epilogue                                                     |   0:50   |  06 MB  |
|    02    | Encore                                                       |   4:31   |  32 MB  |
|    03    | Halzion                                                      |   3:18   |  27 MB  |
|    04    | Ano Yume wo Nazotte                                          |   4:00   |  31 MB  |
|    05    | Tabun                                                        |   4:16   |  29 MB  |
|    06    | Gunjou                                                       |   4:08   |  32 MB  |
|    07    | Haruka                                                       |   4:03   |  30 MB  |
|    08    | Yoru ni Kakeru                                               |   4:18   |  35 MB  |
|    09    | Prologue                                                     |   0:35   |  05 MB  |
|----------|--------------------------------------------------------------|----------|---------|

