YOASOBI - THE BOOK for [2026] [Album] [24-96 FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Orion                                                        |   3:26   |  78 MB  |
|    02    | Adrena                                                       |   3:07   |  75 MB  |
|    03    | UNDEAD                                                       |   3:02   |  75 MB  |
|    04    | PLAYERS                                                      |   3:21   |  79 MB  |
|    05    | Monotone                                                     |   3:30   |  78 MB  |
|    06    | BABY                                                         |   3:52   |  81 MB  |
|    07    | Watch me!                                                    |   3:05   |  72 MB  |
|    08    | Biri-Biri                                                    |   3:07   |  70 MB  |
|    09    | New me                                                       |   3:27   |  77 MB  |
|    10    | HEART BEAT                                                   |   5:34   |  122 MB |
|    11    | Butai ni Tatte                                               |   3:29   |  79 MB  |
|    12    | Gekijou                                                      |   3:20   |  77 MB  |
|----------|--------------------------------------------------------------|----------|---------|

