YUI - CAN'T BUY MY LOVE [2007] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | How crazy                                                    |   3:38   |  26 MB  |
|    02    | Rolling star                                                 |   3:08   |  25 MB  |
|    03    | It's all right                                               |   3:37   |  27 MB  |
|    04    | I remember you                                               |   4:05   |  30 MB  |
|    05    | RUIDO                                                        |   0:51   |  07 MB  |
|    06    | CHE.R.RY                                                     |   3:29   |  27 MB  |
|    07    | Thank you My teens                                           |   2:57   |  22 MB  |
|    08    | Umbrella                                                     |   4:16   |  30 MB  |
|    09    | Highway chance                                               |   3:54   |  30 MB  |
|    10    | Happy Birthday to you you                                    |   4:01   |  33 MB  |
|    11    | Winding road                                                 |   3:39   |  27 MB  |
|    12    | Good-bye days                                                |   4:33   |  33 MB  |
|    13    | Why?                                                         |   3:13   |  21 MB  |
|----------|--------------------------------------------------------------|----------|---------|

