YUI - HOLIDAYS IN THE SUN [2010] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | to Mother                                                    |   3:48   |  26 MB  |
|    02    | again                                                        |   4:14   |  32 MB  |
|    03    | Parade                                                       |   2:52   |  23 MB  |
|    04    | es.car                                                       |   3:19   |  27 MB  |
|    05    | Shake My Heart                                               |   3:37   |  28 MB  |
|    06    | GLORIA                                                       |   3:38   |  29 MB  |
|    07    | I do it                                                      |   3:47   |  30 MB  |
|    08    | Please Stay With Me                                          |   3:56   |  28 MB  |
|    09    | Summer Song                                                  |   3:26   |  27 MB  |
|    10    | Cinnamon                                                     |   2:56   |  23 MB  |
|    11    | Driving Happy Life                                           |   3:43   |  30 MB  |
|    12    | It's all too much                                            |   4:14   |  33 MB  |
|    13    | Kiss me                                                      |   4:07   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

