YUI - HOW CRAZY YOUR LOVE [2011] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | HELLO                                                        |   3:35   |  28 MB  |
|    02    | Separation                                                   |   3:10   |  25 MB  |
|    03    | Get Back Home                                                |   3:30   |  24 MB  |
|    04    | Lock On                                                      |   3:34   |  26 MB  |
|    05    | U-niform                                                     |   3:01   |  23 MB  |
|    06    | Cooking                                                      |   3:21   |  24 MB  |
|    07    | Rain                                                         |   4:02   |  31 MB  |
|    08    | Good night                                                   |   0:43   |  05 MB  |
|    09    | YOU                                                          |   3:56   |  27 MB  |
|    10    | It's My Life                                                 |   3:15   |  26 MB  |
|    11    | No Reason                                                    |   3:20   |  25 MB  |
|    12    | Nobody Knows                                                 |   4:39   |  36 MB  |
|    13    | Green a.live                                                 |   4:40   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

