YUI - ORANGE GARDEN POP [2012] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | CHE.R.RY                                                     |   3:34   |  27 MB  |
|    02    | feel my soul                                                 |   3:47   |  28 MB  |
|    03    | GLORIA                                                       |   3:41   |  29 MB  |
|    04    | to Mother                                                    |   3:50   |  27 MB  |
|    05    | Merry Go Round                                               |   3:53   |  28 MB  |
|    06    | Tommorow's way                                               |   4:44   |  33 MB  |
|    07    | I'll be                                                      |   3:32   |  26 MB  |
|    08    | OH YEAH                                                      |   3:13   |  24 MB  |
|    09    | Rain                                                         |   4:01   |  32 MB  |
|    10    | Never say die                                                |   2:41   |  22 MB  |
|    11    | es.car                                                       |   3:19   |  27 MB  |
|    12    | SUMMER SONG                                                  |   3:27   |  27 MB  |
|    13    | Happy Birthday to you you                                    |   4:01   |  31 MB  |
|    14    | Understand                                                   |   3:33   |  24 MB  |
|    15    | Separation                                                   |   3:09   |  26 MB  |
|    16    | It's My Life                                                 |   3:15   |  26 MB  |
|    17    | LOVE & TRUTH                                                 |   4:20   |  32 MB  |
|    18    | TOKYO                                                        |   4:06   |  26 MB  |
|----------|--------------------------------------------------------------|----------|---------|

