ikimonogakari - Ikimonogakari no Minasan, KonniTour!! 2012 ~NEWTRAL~ (Live Tracks) [2025] [Live Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Kaze ga Fuiteiru (2012 Live Track)                           |   7:45   |  102 MB |
|    02    | NEW WORLD MUSIC (2012 Live Track)                            |   4:56   |  68 MB  |
|    03    | Itsudatte Bokura wa (2012 Live Track)                        |   4:35   |  62 MB  |
|    04    | Aruite Ikou (2012 Live Track)                                |   6:14   |  80 MB  |
|    05    | Shiroi Diary (2012 Live Track)                               |   5:10   |  66 MB  |
|    06    | Kaeritakunatta yo (2012 Live Track)                          |   6:56   |  85 MB  |
|    07    | Koisuru Otome (2012 Live Track)                              |   5:37   |  72 MB  |
|    08    | Oyasumi (2012 Live Track)                                    |   4:45   |  58 MB  |
|    09    | Renshi (2012 Live Track)                                     |   4:34   |  62 MB  |
|    10    | Warattetainda (2012 Live Track)                              |   6:29   |  89 MB  |
|    11    | KISS KISS BANG BANG (2012 Live Track)                        |   4:38   |  63 MB  |
|    12    | Chikyuu (2012 Live Track)                                    |   5:57   |  75 MB  |
|    13    | Ai ni Iku yo ~ Kaze ga Fuiteiru -reprise- (2012 Live Track)  |   10:25  |  137 MB |
|----------|--------------------------------------------------------------|----------|---------|

