ikimonogakari - Ikimonogakari no Minasan, KonniTour!! 2015 ~FUN! FUN! FUNFARE!~ (Live Tracks) [2025] [Live Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ashita Hareru ka na (2015 Live Track)                        |   6:26   |  88 MB  |
|    02    | GOLDEN GIRL (2015 Live Track)                                |   5:14   |  75 MB  |
|    03    | One Goal (2015 Live Track)                                   |   4:24   |  63 MB  |
|    04    | Love Song wa Tomaranai yo (2015 Live Track)                  |   5:35   |  77 MB  |
|    05    | Haru (2015 Live Track)                                       |   8:15   |  110 MB |
|    06    | Egao (2015 Live Track)                                       |   7:57   |  105 MB |
|    07    | Nakumonka (2015 Live Track)                                  |   5:49   |  75 MB  |
|    08    | Namida ga Kieru Nara (2015 Live Track)                       |   4:27   |  58 MB  |
|    09    | Netsujou no Spectrum (2015 Live Track)                       |   3:50   |  55 MB  |
|    10    | Kirari (2015 Live Track)                                     |   6:24   |  88 MB  |
|    11    | Jump! (2015 Live Track)                                      |   5:04   |  72 MB  |
|    12    | My Stage (2015 Live Track)                                   |   5:35   |  75 MB  |
|    13    | LIFE (2015 Live Track)                                       |   4:54   |  65 MB  |
|    14    | Anata (2015 Live Track)                                      |   5:56   |  81 MB  |
|----------|--------------------------------------------------------------|----------|---------|

