iwrestledabearonce - It's All Happening (Deluxe Edition) [2012] [Album] [ALAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | You Ain't No Family                                          |   3:46   |  30 MB  |
|    02    | White Water in the Morning                                   |   3:51   |  29 MB  |
|    03    | Danger in the Manger                                         |   2:19   |  19 MB  |
|    04    | I'm Cold and There Are Wolves After Me                       |   2:58   |  23 MB  |
|    05    | Tastes Like Kevin Bacon                                      |   3:19   |  27 MB  |
|    06    | The Cat's Pajamas                                            |   3:22   |  25 MB  |
|    07    | Pazuzu for the Win                                           |   4:00   |  31 MB  |
|    08    | Black-Eyed Bush                                              |   2:28   |  16 MB  |
|    09    | Eli Cash vs. The Godless Savages                             |   3:55   |  30 MB  |
|    10    | See You in Shell                                             |   3:22   |  26 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|----------------------------------------------------------------------------|----------|---------|
|   TRACK  |                                    TITLE                                   | DURATION |   SIZE  |
|----------|----------------------------------------------------------------------------|----------|---------|
|    01    | You Ain't No Family (DJ Danny Maverick of HORSE the Band Remix)            |   4:20   |  32 MB  |
|    02    | White Water in the Morning (DJ Rampue Remix)                               |   3:43   |  25 MB  |
|    03    | Danger In the Manger (DJ Rampue Remix)                                     |   3:46   |  23 MB  |
|    04    | I'm Cold and There Are Wolves After Me (Rondo Brothers Remix)              |   5:59   |  42 MB  |
|    05    | Tastes Like Kevin Bacon (Benjamin Weinman of Dillinger Escape Plan Remix)  |   3:19   |  23 MB  |
|    06    | The Cat's Pajamas (Invader's Remix by Latexxx Teens)                       |   3:33   |  27 MB  |
|    07    | Pazuzu for the Win (A7IE Remix)                                            |   4:57   |  40 MB  |
|    08    | Eli Cash vs. The Godless Savages (9MILLIONWAYStoDIE aka dAda YakUza Remix) |   5:36   |  45 MB  |
|    09    | See You in Shell (Alien Vampires Remix)                                    |   5:28   |  44 MB  |
|----------|----------------------------------------------------------------------------|----------|---------|

