melodysheep - The Arrow of Time Soundtrack to “Timelapse of the Future” [2019] [OST] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sun Mother                                                   |   3:36   |  19 MB  |
|    02    | The Somnium                                                  |   5:30   |  25 MB  |
|    03    | Ether                                                        |   1:54   |  09 MB  |
|    04    | Wither Away                                                  |   0:58   |  05 MB  |
|    05    | Afterlife                                                    |   0:51   |  04 MB  |
|    06    | Mesa                                                         |   1:11   |  03 MB  |
|    07    | Subterranean                                                 |   1:42   |  07 MB  |
|    08    | The Long Sleep                                               |   1:43   |  09 MB  |
|    09    | Black Desert                                                 |   1:33   |  08 MB  |
|    10    | Hawking's Waltz                                              |   1:15   |  06 MB  |
|    11    | Oceans of Time                                               |   2:46   |  15 MB  |
|    12    | The Rising Dawn Bellows Like Thunder                         |   4:12   |  19 MB  |
|    13    | City of Ghosts                                               |   1:32   |  05 MB  |
|    14    | Passage                                                      |   2:45   |  10 MB  |
|----------|--------------------------------------------------------------|----------|---------|

