the Gallo - DIAVOLO [2016] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Muma -INCUBUS-                                               |   4:22   |  36 MB  |
|    02    | Gokuma -ASTAROTH-                                            |   3:34   |  29 MB  |
|    03    | Nabuma -BELIAL-                                              |   3:52   |  32 MB  |
|    04    | Kyouma -BEHEMOTH-                                            |   3:54   |  32 MB  |
|    05    | Senam -ZIZ-                                                  |   3:12   |  26 MB  |
|    06    | Kanma -LEVIATHAN-                                            |   4:31   |  35 MB  |
|    07    | Muma -SUCCUBUS-                                              |   4:15   |  35 MB  |
|    08    | Souma -LUCIFER-                                              |   2:26   |  20 MB  |
|    09    | Inma -BELPHEGOR-                                             |   4:13   |  34 MB  |
|    10    | Dainippon Kokkei Shugisha Renmei Koushinkyoku Ei Ha Tanchou  |   3:50   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

