the Gallo - GALLO [2013] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Kinsho                                                       |   1:16   |  08 MB  |
|    02    | Kyoumei                                                      |   3:32   |  28 MB  |
|    03    | Dainippon Kokkei Shugisha Renmei Koushinkyoku Ei Ha Tanchou  |   4:16   |  33 MB  |
|    04    | Tokyo Harenchi Gekijou -Eden-                                |   2:51   |  21 MB  |
|    05    | Kyokutou Koi Shigure Ai                                      |   3:16   |  22 MB  |
|    06    | Maou -Kyousou-                                               |   4:06   |  31 MB  |
|    07    | Maou -Doukoku-                                               |   5:15   |  37 MB  |
|    08    | Kokkeiron -Souzou Hen-                                       |   3:04   |  24 MB  |
|    09    | Taiyou                                                       |   3:03   |  22 MB  |
|    10    | Dainippon Kokkei Shugisha Renmei Koushinkyoku Ho Tanchou     |   4:19   |  34 MB  |
|    11    | Kyokutou Koi Shigure Kurenai                                 |   4:31   |  32 MB  |
|    12    | Dokusou                                                      |   4:21   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

