the Gallo - INFERNO [2023] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | CRUELLO DE VIL                                               |   4:04   |  33 MB  |
|    02    | DEATHTOPIA                                                   |   4:10   |  31 MB  |
|    03    | SILLY THE BOOH                                               |   2:46   |  23 MB  |
|    04    | WILLY THE BOOH                                               |   3:39   |  28 MB  |
|    05    | YOKOHAMA BEAST                                               |   3:21   |  26 MB  |
|    06    | MRMD-13α                                                     |   3:50   |  31 MB  |
|    07    | MRMD-13β                                                     |   3:16   |  26 MB  |
|    08    | Kyokutou Kaizokudan -Kamui-                                  |   3:16   |  24 MB  |
|    09    | Kyokutou Kaizokudan -Kaminari-                               |   3:15   |  25 MB  |
|    10    | GALLOWEEN N°1                                                |   3:32   |  29 MB  |
|    11    | WITCH                                                        |   3:13   |  26 MB  |
|    12    | VITCH                                                        |   3:41   |  27 MB  |
|    13    | INFERNO -UNO-                                                |   4:14   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

