the Gallo - Kokkeigaku -GALLOXY- [2019] [Best Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Mudai                                                        |   3:41   |  48 MB  |
|    02    | BOUTIQUE BEELZEBUB                                           |   3:59   |  51 MB  |
|    03    | Tokyo Cinderella                                             |   4:36   |  59 MB  |
|    04    | Kokkeiron -Hakai Hen-                                        |   3:29   |  45 MB  |
|    05    | Kyoumei                                                      |   3:26   |  45 MB  |
|    06    | Musou                                                        |   3:35   |  47 MB  |
|    07    | Muma -INCUBUS-                                               |   4:31   |  60 MB  |
|    08    | Nabuma -BELIAL-                                              |   3:50   |  52 MB  |
|    09    | Inma -BELPHEGOR-                                             |   4:08   |  55 MB  |
|    10    | Maou -Yamishi-                                               |   3:45   |  49 MB  |
|    11    | KERBEROS                                                     |   4:27   |  58 MB  |
|    12    | PLUTO                                                        |   3:50   |  50 MB  |
|    13    | VELTRO                                                       |   3:41   |  47 MB  |
|----------|--------------------------------------------------------------|----------|---------|

