the Gallo - Nero [2014] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Daitoua Mahoujin                                             |   3:32   |  29 MB  |
|    02    | Shiden Juunanaban Keitou Baikokudo Rekishi Jiken             |   3:40   |  30 MB  |
|    03    | Kyokutou Koishigure Nezumi                                   |   4:26   |  34 MB  |
|    04    | Teito Shigou Masuiro                                         |   4:18   |  34 MB  |
|    05    | Fushoku                                                      |   4:17   |  33 MB  |
|    06    | Musou                                                        |   3:36   |  29 MB  |
|    07    | Ryuusei                                                      |   4:29   |  34 MB  |
|    08    | Keshi                                                        |   4:55   |  38 MB  |
|    09    | Kyokutou Saiban -Kokkei-                                     |   4:46   |  37 MB  |
|    10    | Dainippon Kokkei Shugisha Renmei Koushinkyoku I Tanchou      |   4:05   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

