the Gallo - THE GALLO [2012] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Dainippon Kokkei Shugisha Renmei Koushinkyoku Ho Tanchou     |   4:29   |  36 MB  |
|    02    | Tokyo Cinderella                                             |   4:16   |  34 MB  |
|    03    | SNOW WHITE AND THE THIRTEEN RxPISTS                          |   3:51   |  32 MB  |
|    04    | Akai Piano Sen                                               |   3:48   |  31 MB  |
|    05    | Danshou Ballerina                                            |   3:59   |  33 MB  |
|    06    | Ahen                                                         |   4:03   |  31 MB  |
|    07    | Hoshikuzu                                                    |   4:41   |  36 MB  |
|    08    | Kyokugeshi                                                   |   4:30   |  36 MB  |
|    09    | Tokyo Harenchi Dai Circus -Shinsekai-                        |   4:56   |  38 MB  |
|    10    | Sagishi                                                      |   4:38   |  37 MB  |
|    11    | Doukeshi                                                     |   3:44   |  30 MB  |
|    12    | Choukyoushi                                                  |   4:40   |  35 MB  |
|    13    | Muen                                                         |   4:34   |  36 MB  |
|    14    | Tokyoshi Shitayaku Shounen Touzokudan Kotetsu                |   3:34   |  28 MB  |
|    15    | Gokusaishiki Maressha -GA110-                                |   3:44   |  28 MB  |
|    16    | Kokkeiron -Hakai Hen-                                        |   3:30   |  29 MB  |
|    17    | Shinigami                                                    |   4:35   |  37 MB  |
|    18    | Yokohama Akusen Chitai Renzoku Ryouki Satsujin Jiken         |   5:01   |  40 MB  |
|    19    | Ura Tokyo Cinderella                                         |   4:53   |  39 MB  |
|----------|--------------------------------------------------------------|----------|---------|

