vistlip - ORDER MADE (lipper) [2011] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | chapter:GEAR                                                 |   1:40   |  11 MB  |
|    02    | the wonderland from LAB.                                     |   4:33   |  37 MB  |
|    03    | android's dream                                              |   4:25   |  36 MB  |
|    04    | RETRO                                                        |   4:23   |  34 MB  |
|    05    | closed auction                                               |   3:35   |  29 MB  |
|    06    | XEPPET                                                       |   3:23   |  28 MB  |
|    07    | entrance of NIGHT PARADE.                                    |   0:35   |  04 MB  |
|    08    | milk&macaron                                                 |   4:43   |  37 MB  |
|    09    | STRAWBERRY BUTTERFLY                                         |   4:55   |  37 MB  |
|    10    | Evil Rider                                                   |   4:45   |  37 MB  |
|    11    | exit of I am…                                                |   1:35   |  11 MB  |
|    12    | Drama Queen                                                  |   3:02   |  25 MB  |
|    13    | SINDRA                                                       |   4:33   |  36 MB  |
|    14    | ORDER MADE                                                   |   4:34   |  33 MB  |
|    15    | Hameln                                                       |   5:12   |  40 MB  |
|    16    | chapter:END                                                  |   1:45   |  11 MB  |
|    17    | BLACK-TAIL[Re:birth]                                         |   4:50   |  35 MB  |
|----------|--------------------------------------------------------------|----------|---------|

